,0
0,อัฟกานิสถาน
1,หมู่เกาะโอลันด์
2,แอลเบเนีย
3,แอลจีเรีย
4,อเมริกันซามัว
5,อันดอร์รา
6,แองโกลา
7,แองกวิลลา
8,แอนทีกาและบาร์บิวดา
9,อาร์เจนตินา
10,อาร์เมเนีย
11,อารูบา
12,เกาะอัสเซนชัน
13,ออสเตรเลีย
14,ออสเตรีย
15,อาเซอร์ไบจาน
16,บาฮามาส
17,บาห์เรน
18,บังกลาเทศ
19,บาร์เบโดส
20,เบลารุส
21,เบลเยียม
22,เบลีซ
23,เบนิน
24,เบอร์มิวดา
25,ภูฏาน
26,โบลิเวีย
27,โบแวน
28,บอสเนียและเฮอร์เซโกวีนา
29,บอตสวานา
30,บราซิล
31,บริติชแอนตาร์กติกเทร์ริทอรี
32,บริติชอินเดียนโอเชียนเทร์ริทอรี
33,บรูไนดารุสซาลาม
34,บัลแกเรีย
35,บูร์กินาฟาโซ
36,บุรุนดี
37,กัมพูชา
38,แคเมอรูน
39,แคนาดา
40,หมู่เกาะคะแนรี
41,กาบูเวร์ดี
42,หมู่เกาะเคย์แมน
43,สาธารณรัฐแอฟริกากลาง
44,ชาด
45,ชิลี
46,จีน
47,โคลัมเบีย
48,คอโมโรส
49,คองโก
50,สาธารณรัฐประชาธิปไตยคองโก
51,หมู่เกาะคุก
52,คอสตาริกา
53,โกตดิวัวร์
54,โครเอเชีย
55,คิวบา
56,คูราเซา
57,ไซปรัส
58,สาธารณรัฐเช็ก
59,เดนมาร์ก
60,จิบูตี
61,ดอมินีกา
62,สาธารณรัฐโดมินิกัน
63,เอกวาดอร์
64,อียิปต์
65,เอลซัลวาดอร์
66,อิเควทอเรียลกินี
67,เอริเทรีย
68,เอสโทเนีย
69,เอธิโอเปีย
70,หมู่เกาะฟอล์กแลนด์ (มัลวินาส)
71,หมู่เกาะแฟโร
72,ฟิจิ
73,ฟินแลนด์
74,ฝรั่งเศส
75,เฟรนช์เกียนา
76,เฟรนช์พอลินีเชีย
77,กาบอง
78,แกมเบีย
79,จอร์เจีย
80,เยอรมนี
81,กานา
82,ยิบรอลตาร์
83,กรีซ
84,กรีนแลนด์
85,กรีเนดา
86,กวาเดอลูป
87,กวม
88,กัวเตมาลา
89,เกิร์นซีย์
90,กินี
91,กินี-บิสเซา
92,กายอานา
93,เฮติ
94,โฮลีซี (นครรัฐวาติกัน)
95,ฮอนดูรัส
96,ฮ่องกง
97,ฮังการี
98,ไอซ์แลนด์
99,อินเดีย
100,อินโดนีเซีย
101,สาธารณรัฐอิสลามอิหร่าน
102,อิรัก
103,ไอร์แลนด์
104,ไอล์ออฟแมน
105,อิสราเอล
106,อิตาลี
107,จาเมกา
108,ญี่ปุ่น
109,เจอร์ซีย์
110,จอร์แดน
111,คาซัคสถาน
112,เคนยา
113,คิริบาส
114,สาธารณรัฐประชาธิปไตยประชาชนเกาหลี
115,สาธารณรัฐเกาหลี
116,Countries.242
117,คูเวต
118,คีร์กีซสถาน
119,สาธารณรัฐประชาธิปไตยประชาชนลาว
120,ลัตเวีย
121,เลบานอน
122,เลโซโท
123,ไลบีเรีย
124,สาธารณรัฐสังคมนิยมประชาชนอาหรับลิเบีย
125,ลิกเตนสไตน์
126,ลิทัวเนีย
127,ลักเซมเบิร์ก
128,มาเก๊า
129,มาดากัสการ์
130,มาลาวี
131,มาเลเซีย
132,มัลดีฟส์
133,มาลี
134,มอลตา
135,หมู่เกาะมาร์แชลล์
136,มาร์ตีนีก
137,มอริเตเนีย
138,มอริเชียส
139,Countries.244
140,ฝรั่งเศสแผ่นดินใหญ่
141,เม็กซิโก
142,สหพันธรัฐไมโครนีเชีย
143,สาธารณรัฐมอลโดวา
144,โมนาโก
145,มองโกเลีย
146,มอนเตเนโกร
147,มอนต์เซอร์รัต
148,โมร็อกโก
149,โมซัมบิก
150,เมียนมา
151,นามิเบีย
152,นาอูรู
153,เนปาล
154,เนเธอร์แลนด์
155,เนเธอร์แลนด์แอนทิลลีส
156,นิวแคลิโดเนีย
157,นิวซีแลนด์
158,นิการากัว
159,ไนเจอร์
160,ไนจีเรีย
161,นีวเว
162,เกาะนอร์ฟอล์ก
163,หมู่เกาะนอร์เทิร์นมาเรียนา
164,นอร์เวย์
165,โอมาน
166,ปากีสถาน
167,ปาเลา
168,ปานามา
169,ปาปัวนิวกินี
170,ปารากวัย
171,เปรู
172,ฟิลิปปินส์
173,พิตแคร์น
174,โปแลนด์
175,โปรตุเกส
176,เปอร์โตริโก
177,กาตาร์
178,สาธารณรัฐมาซิโดเนียเหนือ
179,เรอูนียง
180,โรมาเนีย
181,รัสเซีย
182,รวันดา
183,Saint Barthélemy
184,เซนต์เฮเลนา
185,เซนต์คิตส์และเนวิส
186,เซนต์ลูเชีย
187,แซ็งปีแยร์และมีเกอลง
188,เซนต์วินเซนต์และเกรนาดีนส์
189,ซามัว
190,ซานมารีโน
191,เซาตูเมและปรินซิปี
192,ซาอุดีอาระเบีย
193,เซเนกัล
194,เซอร์เบีย
195,เซเชลส์
196,เซียร์ราลีโอน
197,สิงคโปร์
198,Sint Maarten (ส่วนดัตช์)
199,สโลวาเกีย
200,สโลวีเนีย
201,หมู่เกาะโซโลมอน
202,โซมาเลีย
203,แอฟริกาใต้
204,เซาท์จอร์เจียและหมู่เกาะเซาท์แซนด์วิช
205,สเปน
206,ศรีลังกา
207,St.Eustatius
208,ซูดาน
209,ซูรินาม
210,สฟาลบาร์ดและยานไมเอน
211,สวาซิแลนด์
212,สวีเดน
213,สวิตเซอร์แลนด์
214,สาธารณรัฐอาหรับซีเรีย
215,ไต้หวัน
216,ทาจิกิสถาน
217,สหสาธารณรัฐแทนซาเนีย
218,ไทย
219,ติมอร์-เลสเต
220,โตโก
221,โตเกเลา
222,ตองกา
223,ตรินิแดดและโตเบโก
224,ตริสตันดากูนยา
225,ตูนิเซีย
226,ตุรกี
227,เติร์กเมนิสถาน
228,หมู่เกาะเติกส์และเคคอส
229,ตูวาลู
230,ยูกันดา
231,ยูเครน
232,สหรัฐอาหรับเอมิเรตส์
233,สหราชอาณาจักร
234,สหรัฐอเมริกา
235,Countries.243
236,อุรุกวัย
237,อุซเบกิสถาน
238,วานูอาตู
239,เวเนซุเอลา
240,เวียดนาม
241,หมู่เกาะเวอร์จินของอังกฤษ
242,หมู่เกาะเวอร์จินของสหรัฐอเมริกา
243,วอลิสและฟูตูนา
244,ซาฮาราตะวันตก
245,เยเมน
246,แซมเบีย
247,ซิมบับเว
